589538,645,58953800,589539
324516,195,32451600,324517
1444309,312,144430900,1444310
1859082,811,185908200,1859083
1138993,569,113899300,1138994
504525,902,50452500,504526
361685,246,36168500,361686
66742,514,6674200,66743
762521,982,76252100,762522
1364607,701,136460700,1364608
1433687,508,143368700,1433688
1618169,317,161816900,1618159
1072043,136,107204300,1072044
809719,192,80971900,809720
957181,935,95718100,957182
685467,755,68546700,685468
507833,853,50783300,507834
698699,973,69869900,698700
1173159,663,117315900,1173160
1767497,479,176749700,1767498
39363,560,3936300,39364
1389613,351,138961300,1389614
1415509,614,141550900,1415510
1469400,992,146940000,1469401
1735181,24,173518100,1735182
1212227,693,121222700,1212228
1645324,680,164532400,1645325
1434556,63,143455600,1434557
966561,601,96656100,966562
754462,617,75446200,754463
1572460,975,157246000,1572461
404378,804,40437800,404379
379554,661,37955400,379555
1656018,713,165601800,1656019
541570,507,54157000,541571
1545302,447,154530200,1545303
678068,865,67806800,678069
778696,581,77869600,778697
1707447,200,170744700,1707448
1283895,85,128389500,1283896
1993632,631,199363200,1993633
1165841,93,116584100,1165842
716718,190,71671800,716719
312714,157,31271400,312715
1932265,884,193226500,1932266
1529240,757,152924000,1529241
816199,797,81619900,816200
1235231,524,123523100,1235232
661953,565,66195300,661954
795388,396,79538800,795389
1552649,926,155264900,1552650
717894,251,71789400,717895
887376,992,88737600,887377
1951450,642,195145000,1951451
1816234,260,181623400,1816235
1134865,747,113486500,1134866
1178098,763,117809800,1178099
824491,531,82449100,824492
1343201,591,134320100,1343202
731555,492,73155500,731556
157615,264,15761500,157616
857580,913,85758000,857581
1367635,534,136763500,1367636
345050,571,34505000,345051
1213811,27,121381100,1213812
246616,552,24661600,246617
654070,82,65407000,654060
1470073,281,147007300,1470074
1823607,582,182360700,1823608
1983082,826,198308200,1983083
53893,689,5389300,53894
1824499,162,182449900,1824500
274464,864,27446400,274465
1234543,273,123454300,1234544
1838104,842,183810400,1838105
1931855,32,193185500,1931856
2786,361,278600,2787
1604913,667,160491300,1604914
1183676,896,118367600,1183677
1824499,162,182449900,1824500
274464,864,27446400,274465
1234543,273,123454300,1234544
1838104,842,183810400,1838105
795743,549,79574300,795744
975055,794,97505500,975056
774238,798,77423800,774239
1403557,507,140355700,1403558
1405107,988,140510700,1405108
816941,592,81694100,816942
996465,801,99646500,996466
131628,874,13162800,131629
976021,711,97602100,976022
1748658,676,174865800,1748659
483836,339,48383600,483837
1737196,353,173719600,1737197
1627116,360,162711600,1627117
447630,892,44763000,447631
1081421,838,108142100,1081422
534379,953,53437900,534380
1699209,328,169920900,1699210
1173994,556,117399400,1173995
231898,673,23189800,231899
467898,792,46789800,467899
1902939,911,190293900,1902940
1517211,143,151721100,1517212
1321131,491,132113100,1321132
1218661,571,121866100,1218662
1299380,170,129938000,1299381
1831422,469,183142200,1831423
1292400,734,129240000,1292401
980767,543,98076700,980768
1352971,480,135297100,1352972
1623686,418,162368600,1623687
1497017,646,149701700,1497018
403626,59,40362600,403627
378369,455,37836900,378370
1743816,128,174381600,1743817
632243,541,63224300,632244
1344865,981,134486500,1344866
140739,891,14073900,140740
613242,767,61324200,613243
1424093,820,142409300,1424094
1862611,352,186261100,1862612
1347811,379,134781100,1347801
846380,719,84638000,846381
1782601,26,178260100,1782602
717034,165,71703400,717035
431199,657,43119900,431200
