1631130,488,163113000,1631131
915468,884,91546800,915469
131821,63,13182100,131822
836580,512,83658000,836581
332751,794,33275100,332741
544577,506,54457700,544578
975768,228,97576800,975769
886669,699,88666900,886670
1154128,697,115412800,1154129
1108807,898,110880700,1108808
545850,338,54585000,545851
656740,992,65674000,656741
236332,973,23633200,236333
1467511,926,146751100,1467512
1165630,623,116563000,1165631
148838,356,14883800,148839
1726810,377,172681000,1726811
1151729,891,115172900,1151719
1774601,745,177460100,1774602
743887,629,74388700,743888
