*** Execution for following Query  :
Q_1 Q_1
Q
Q_3 1 Q_3
Replacer: Clock

2786,39363
2786,53893
2786,66742
2786,131628
2786,140739
2786,157615
2786,231898
2786,246616
2786,274464
2786,274464
2786,312714
2786,324516
2786,345050
2786,361685
2786,378369
2786,379554
2786,403626
2786,404378
2786,431199
2786,447630
2786,467898
2786,483836
2786,504525
2786,507833
2786,534379
2786,541570
2786,613242
2786,632243
2786,654070
2786,661953
2786,678068
2786,685467
2786,698699
2786,716718
2786,717034
2786,717894
2786,731555
2786,754462
2786,762521
2786,774238
2786,778696
2786,795388
2786,795743
2786,809719
2786,816199
2786,816941
2786,824491
2786,846380
2786,857580
2786,887376
2786,957181
2786,966561
2786,975055
2786,976021
2786,980767
2786,996465
2786,1072043
2786,1081421
2786,1134865
2786,1138993
2786,1165841
2786,1173159
2786,1173994
2786,1178098
2786,1183676
2786,1212227
2786,1213811
2786,1218661
2786,1234543
2786,1234543
2786,1235231
2786,1283895
2786,1292400
2786,1299380
2786,1321131
2786,1343201
2786,1344865
2786,1347811
2786,1352971
2786,1364607
2786,1367635
2786,1389613
2786,1403557
2786,1405107
2786,1415509
2786,1424093
2786,1433687
2786,1434556
2786,1444309
2786,1469400
2786,1470073
2786,1497017
2786,1517211
2786,1529240
2786,1545302
2786,1552649
2786,1572460
2786,1604913
2786,1618169
2786,1623686
2786,1627116
2786,1645324
2786,1656018
2786,1699209
2786,1707447
2786,1735181
2786,1737196
2786,1743816
2786,1748658
2786,1767497
2786,1782601
2786,1816234
2786,1823607
2786,1824499
2786,1824499
2786,1831422
2786,1838104
2786,1838104
2786,1859082
2786,1862611
2786,1902939
2786,1931855
2786,1932265
2786,1951450
2786,1983082
2786,1993632
39363,53893
39363,66742
39363,131628
39363,140739
39363,157615
39363,231898
39363,246616
39363,274464
39363,274464
39363,312714
39363,324516
39363,345050
39363,361685
39363,378369
39363,379554
39363,403626
39363,404378
39363,431199
39363,447630
39363,467898
39363,483836
39363,504525
39363,507833
39363,534379
39363,541570
39363,613242
39363,632243
